职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
软件工程师,6-8千/月,东莞-虎门镇,东莞市民迪玩具实业有限公司,民营公司,50-150人,家具/家电/玩具/礼品,08-15
软件开发工程师,5-8千/月,佛山-顺德区,佛山市顺德区顺达电脑厂有限公司,外资（非欧美）,1000-5000人,电子技术/半导体/集成电路,08-15
嵌入式软件工程师,0.7-1万/月,泸州,明德亨电子,民营公司,50-150人,电子技术/半导体/集成电路,08-15
物联网高级软件工程师,1.2-1.8万/月,长沙,湖南新亚泰科技有限公司,民营公司,50-150人,通信/电信运营、增值服务,08-15
高级嵌入式软件开发工程师,2-3万/月,深圳-宝安区,深圳富士伟业科技有限公司,民营公司,150-500人,仪器仪表/工业自动化,08-15
C++/QT软件工程师,0.5-1万/月,武汉-江岸区,武汉奥森迪科智能科技股份有限公司,民营公司,50-150人,仪器仪表/工业自动化,08-15
软件工程师（java方向）,0.8-1.6万/月,昆山,苏州卓曜智能科技有限公司,民营公司,少于50人,机械/设备/重工,08-15
U3D软件开发工程师（急招）,0.8-1万/月,南京-浦口区,南京机智云修信息科技有限公司,民营公司,少于50人,计算机软件,08-15
应用软件开发工程师,1-2万/月,苏州-工业园区,苏州壹达生物科技有限公司,民营公司,少于50人,制药/生物工程,08-15
软件工程师（数据开发）,0.8-1.5万/月,厦门-海沧区,厦门优迈科医学仪器有限公司,合资,50-150人,医疗设备/器械,08-15
软件工程师,1.4-2.1万/月,深圳,深圳越为科技有限公司,民营公司,,计算机软件,08-15
软件工程师,6-8千/月,深圳,微瞳科技（深圳）有限公司,民营公司,,计算机软件,08-15
嵌入式软件工程师,1-1.5万/月,深圳,深圳市骏嘉科技发展有限公司,民营公司,,电子技术/半导体/集成电路,08-15
嵌入式软件开发工程师,2-2.5万/月,深圳,深圳优途智行科技有限公司,外资（欧美）,,互联网/电子商务,08-15
windows c++软件工程师,2.5-3万/月,北京-海淀区,北京隆欣商贸有限公司,民营公司,50-150人,贸易/进出口,08-15
IPC软件开发工程师,1.5-2万/月,深圳,深圳市微网力合信息技术有限公司,民营公司,,通信/电信/网络设备,08-15
002软件工程师,0.5-1万/月,苏州,苏州三友慧信息技术有限公司,民营公司,,电子技术/半导体/集成电路,08-15
软件工程师（社招）,1-1.5万/月,南通,江苏铁军软件科技有限公司,民营公司,,机械/设备/重工,08-15
嵌入式软件工程师,0.8-1.5万/月,常州,常州市盛和电子有限公司,民营公司,50-150人,机械/设备/重工,08-15
产品开发软件工程师,0.5-1万/月,上海,上海东铁五金有限公司,外资（非欧美）,,建筑/建材/工程,08-15
单片机（MCU）软件工程师,1-2万/月,深圳-宝安区,深圳市塞格瑞特电子有限公司,民营公司,少于50人,电子技术/半导体/集成电路,08-15
C++软件工程师,1.5-2万/月,深圳,深圳市中图仪器股份有限公司,民营公司,,仪器仪表/工业自动化,08-15
C++软件工程师,1.5-2万/月,上海,中仿智能科技（上海）股份有限公司,民营公司,,计算机软件,08-15
软件开发工程师,1-1.5万/月,上海,上海健麾信息技术股份有限公司,民营公司,,计算机软件,08-15
设备软件工程师,1.5-2万/月,上海,理想晶延半导体设备（上海）有限公司,合资,,电子技术/半导体/集成电路,08-15
软件工程师,3-4万/月,上海,齐亚斯（上海）物联网科技有限公司,政府机关,,政府/公共事业,08-15
软件工程师,1-2万/月,无锡,中船海洋探测技术研究院有限公司,国企,50-150人,学术/科研,08-15
高级嵌入式软件工程师,2-2.5万/月,杭州-萧山区,安杰莱科技（杭州）有限公司,合资,少于50人,医疗设备/器械,08-15
软件工程师,15-20万/年,深圳-宝安区,深圳市欧凌镭射科技有限公司,民营公司,50-150人,机械/设备/重工,08-15
蓝牙软件工程师,1.5-2.5万/月,深圳-南山区,深圳市沃尔星科技有限公司,民营公司,少于50人,贸易/进出口,08-15
