职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
厨师,4-5千/月,深圳,知音卡片礼品（深圳）有限公司,外资（欧美）,1000-5000人,印刷/包装/造纸,08-15
厨师,3-4.5千/月,武汉-新洲区,武汉市美奇斯机械设备有限公司,民营公司,50-150人,机械/设备/重工,08-15
厨师,4-6千/月,汕头,汕头市美味匙食品科技有限公司,民营公司,150-500人,快速消费品(食品、饮料、化妆品),08-15
行政厨师,0.9-1.6万/月,深圳,深圳市千百辉智能工程有限公司,上市公司,150-500人,建筑/建材/工程,08-15
工厂食堂厨师,2.5-5千/月,南京-六合区,南京惠宇农化有限公司,民营公司,50-150人,石油/化工/矿产/地质,08-15
炒菜厨师（急，能炒川菜湘菜 5000-8000元）,5-6千/月,深圳-宝安区,华银通宝投资有限公司,民营公司,50-150人,房地产,08-15
中餐厨师（国有企业包吃住）,6-8千/月,上海-静安区,上海光明村实业有限公司,国企,500-1000人,餐饮业,08-15
厨师,6-8千/月,常州,常州市宏发纵横新材料科技股份有限公司,合资,1000-5000人,新能源,08-15
食堂厨师,6.5-7.5千/月,上海,上海申养投资管理股份有限公司,合资,150-500人,医疗/护理/卫生,08-15
厨师,5-6.5千/月,佛山-南海区,广东华昌集团有限公司,民营公司,1000-5000人,建筑/建材/工程,08-15
员工餐厨师,4.5-6千/月,西安,西安恒泰汽车服务有限公司,民营公司,1000-5000人,汽车,08-15
诚聘厨师厨工包住+待遇好,3.7-4.2千/月,东莞-东城区,广州天陇网络科技有限公司,民营公司,,计算机软件,08-15
白案厨师（中式点心师、西式点心师）,6-8千/月,上海-浦东新区,中兴通讯股份有限公司,上市公司,10000人以上,通信/电信/网络设备,08-15
厨师顾问（川菜）,1-1.5万/月,北京-朝阳区,上海太太乐食品有限公司北京分公司,合资,500-1000人,快速消费品(食品、饮料、化妆品),08-15
食堂厨师,5-5.5千/月,广州-黄埔区,广州多益网络股份有限公司,民营公司,1000-5000人,网络游戏,08-15
厨师,4.5-6千/月,西安-雁塔区,陕西大德梁行物业管理有限公司,民营公司,150-500人,物业管理/商业中心,08-15
厨师,6-8千/月,苏州-相城区,苏州德佑新材料科技股份有限公司,民营公司,150-500人,原材料和加工,08-15
食堂厨师,5-6.5千/月,深圳-宝安区,深圳市科益泰光电有限公司,民营公司,少于50人,电子技术/半导体/集成电路,08-15
厨师,0.8-1万/月,红河州,弥勒德富里地产有限公司,民营公司,少于50人,房地产,08-15
厨师长（佛山）,1-1.5万/月,佛山-南海区,广州市恺悦木棉花健康管理有限公司,民营公司,50-150人,医疗/护理/卫生,08-15
厨师,0.8-1.5万/月,佛山-南海区,广东万向维景建设工程发展有限公司,民营公司,少于50人,建筑/建材/工程,08-15
日料厨师,0.5-1万/月,杭州-上城区,杭州圣腾餐饮管理有限公司,民营公司,50-150人,餐饮业,08-15
国际学校餐厅厨师长,1-1.2万/月,北京-朝阳区,北京埃顿酒店服务有限公司第二分公司,外资（欧美）,150-500人,物业管理/商业中心,08-15
中餐厨师,3.5-4.5千/月,合肥-包河区,安徽同一汽车销售有限公司,民营公司,50-150人,汽车,08-15
厨师（青岛菜）,5-8千/月,济南-市中区,青岛宏孚联通信技术有限公司,民营公司,50-150人,通信/电信/网络设备,08-15
厨师,5.5-7千/月,深圳-罗湖区,深圳市海丽达国际幼儿教育有限公司,民营公司,1000-5000人,教育/培训/院校,08-15
