职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
英语教师（坐标天河体育中心）,0.8-1万/月,广州-天河区,广州朗讯教育信息咨询有限公司,民营公司,150-500人,教育/培训/院校,08-15
英语老师,6-8千/月,东莞,广东亚视演艺职业学院,非营利组织,1000-5000人,教育/培训/院校,08-15
小学英语老师,0.8-1万/月,合肥-蜀山区,合肥安生托马斯学校,非营利组织,50-150人,教育/培训/院校,08-15
中小学1对1英语老师,4.5-6千/月,广州-白云区,广州市白云区松洲神舟教育咨询服务部,民营公司,少于50人,教育/培训/院校,08-15
线上***英语老师（地点不限）,80元/小时,南京,南京云起信息科技有限公司,民营公司,150-500人,互联网/电子商务,08-15
中小学英语教师,0.6-1.2万/月,杭州-西湖区,杭州那祺魅力英语教育艺术工作室,民营公司,少于50人,教育/培训/院校,08-15
急聘：英语老师,4.5-6千/月,安庆,安徽省维多莉娅教育咨询有限公司,民营公司,,专业服务(咨询、人力资源、财会),08-15
在线一对一英语教师,100元/小时,杭州-江干区,杭州望达教育咨询有限公司,民营公司,少于50人,教育/培训/院校,08-15
英语老师,6-8千/月,廊坊,廊坊市领课沃德教育咨询有限公司,民营公司,50-150人,教育/培训/院校,08-15
少儿英语老师,6-8千/月,珠海-香洲区,珠海市香洲区彩虹蜗牛双语幼儿园,合资,50-150人,教育/培训/院校,08-15
少儿英语老师（口语标准流俐）,0.6-1万/月,武汉-江汉区,励步英语,上市公司,1000-5000人,教育/培训/院校,08-15
高中英语教师,1-1.5万/月,深圳,深圳市翰文英才教育咨询有限公司南山分公司,民营公司,,教育/培训/院校,08-15
少儿英语老师（惠州惠南）,5-7千/月,惠州-惠城区,课外喵教育科技（广州）有限公司,民营公司,500-1000人,教育/培训/院校,08-15
英语老师,0.5-1万/月,杭州-上城区,杭州经天教育科技有限公司,民营公司,50-150人,教育/培训/院校,08-15
英语老师-鼓楼校区,0.6-1.2万/月,南京,南京美乐教育培训中心,民营公司,150-500人,教育/培训/院校,08-15
幼少儿英语老师,0.8-1.2万/月,广州-海珠区,长颈鹿美语广州旗舰中心,外资（非欧美）,150-500人,教育/培训/院校,08-15
