职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
数据分析师,0.5-1万/月,重庆,重庆凡事好科技有限公司,民营公司,50-150人,计算机软件,08-14
数据分析师（商业地产及零售行业）,0.7-1.2万/月,广州-天河区,广东赢商网数据服务股份有限公司,合资,150-500人,互联网/电子商务,08-14
商业数据分析师,0.8-1.5万/月,上海,上海宏原信息科技有限公司,民营公司,50-150人,互联网/电子商务,08-14
AI数据分析师,0.4-1万/月,赣州,江西裕丰智能农业科技有限公司,民营公司,50-150人,农/林/牧/渔,08-14
电商数据分析师,2.5-4千/月,桂林,福州市仓山区来旺兄弟信息技术有限公司,民营公司,50-150人,互联网/电子商务,08-14
高级数据分析师,2-4万/月,广州-增城区,广东袋鼠妈妈集团有限公司,民营公司,1000-5000人,互联网/电子商务,08-14
数据分析师,0.8-1万/月,上海-闵行区,上海法速电子商务有限公司,民营公司,50-150人,互联网/电子商务,08-14
数据分析师,10-15万/年,福州,福建网龙计算机网络信息技术有限公司,民营公司,1000-5000人,网络游戏,08-14
数据分析师,1-1.5万/月,苏州-工业园区,苏州诚联帮众信息技术有限公司,民营公司,150-500人,互联网/电子商务,08-14
数据分析师,1-2万/月,上海-浦东新区,上海悦调科技有限公司,民营公司,150-500人,互联网/电子商务,08-14
数据分析师,0.8-1.3万/月,广州-天河区,广州市缨格轮贸易有限公司,民营公司,50-150人,贸易/进出口,08-14
数据分析师,5-8千/月,深圳-龙岗区,深圳市魔天石科技有限公司,民营公司,150-500人,服装/纺织/皮革,08-14
亚马逊数据分析师,0.8-1万/月,深圳-福田区,豆沙包科技（深圳）有限公司,民营公司,少于50人,金融/投资/证券,08-14
数据分析师,0.8-1万/月,广州-天河区,广州联客信息科技有限公司,民营公司,50-150人,计算机软件,08-14
数据分析师,0.8-1万/月,广州-白云区,广州熠诚餐饮管理有限公司,民营公司,150-500人,餐饮业,08-14
数据分析师,4.5-8千/月,南京-秦淮区,新联康（中国）有限公司,外资（非欧美）,5000-10000人,房地产,08-14
数据分析师,1.5-2万/月,南京-建邺区,快钱支付清算信息有限公司,民营公司,1000-5000人,互联网/电子商务,08-14
数据分析师,0.7-1万/月,西安-国家民用航天产业基地,陕西安华讯科技有限公司,创业公司,少于50人,计算机软件,08-14
数据分析师,1.5-2.2万/月,上海-杨浦区,上海众调信息科技有限公司,民营公司,50-150人,互联网/电子商务,08-14
数据分析师 (MJ000030),1.5-3万/月,广州-番禺区,北京心潮无限科技有限公司,创业公司,50-150人,互联网/电子商务,08-14
数据分析师,6-8千/月,石家庄-裕华区,河北晨华信息科技有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),08-14
数据分析师,6-8千/月,大连-高新园区,大连蓝瑞科技有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),08-14
数据分析师,1.5-2万/月,深圳-南山区,深圳云麦科技有限公司,民营公司,150-500人,电子技术/半导体/集成电路,08-14
Digital Data Analyst/数据分析师_Bosch Powertools_数字化,,上海,博世（中国）投资有限公司,外资（欧美）,10000人以上,汽车,08-14
Data Analyst/数据分析师_BCSC,,苏州,博世汽车部件（苏州）有限公司,外资（欧美）,5000-10000人,汽车,08-14
数据分析师（酒店收益方向）,1-1.5万/月,昆明-西山区,西藏松赞绿谷文化旅游有限公司,民营公司,,酒店/旅游,08-14
